denomination,number_mp,num_observations,osc_epoch,semi_major_axis,eccentricity,inclination,long_asc_node,arg_perihelion,mean_anomaly,x_au,y_au,z_au,vx_au_day,vy_au_day,vz_au_day,heliocentric_distance_au,velocity_magnitude_au_day
susanoo,10604,551,2199.0,3.1767643224678612,0.11322238272972283,0.19403812921257813,0.8865163332529225,-0.024249727425966015,2.238391362756489,-3.362233861058697,-0.5890165721735106,0.2425428766647473,0.00025932113207994363,-0.007671991141041612,-0.004568270072041277,3.4220438491880136,0.00893284875999097
haynes,8082,550,2165.0,2.6184242866525254,0.14981510121095928,0.23674426308463836,4.535484634718115,1.5055964008558307,2.2996084248957294,-1.7771072905371268,2.2634789806047166,0.4175166151563416,-0.007757122895075895,-0.0041865437667238615,-0.0035794804676626776,2.90788024884987,0.009513820722421865
milkey,6789,550,2218.0,2.3379743298291453,0.14082332861625368,0.10764377347432341,2.4101047688548,-1.3320267626020663,-2.1351598895637487,0.7517414388122905,-2.2816812011787366,-0.8357472229467833,0.009416740344666278,0.0041180552923558555,0.0006893392595434405,2.543552184505613,0.010300901257876105
persephone,399,549,2204.0,3.052300778741144,0.07341587293083482,0.22886489845043867,6.045700145497385,-2.8993078701861577,-2.470121440472507,2.670212516751796,1.382964259033997,1.1889017239598867,-0.005535512028203293,0.006178439821867724,0.004154708718333369,3.233591244362559,0.009277748465065192
frankmelillo,30068,547,2187.0,2.7550642006881745,0.16253228256933,0.18609889784359246,1.9791792462389246,-2.7088471236232254,0.7012400114723827,2.3540669051821004,0.6456555907682884,-0.20505623360024047,-0.001179164276038604,0.010817055982340966,0.003974223661445828,2.4496020482727996,0.011584195363778185
mason-dixon,3131,544,2239.0,2.9225266707895887,0.04282451935668573,0.04200338906707368,0.7810674111193094,2.6162588478126168,-1.9895062280764968,0.7072977256501295,2.6271750679321304,1.2102825177390368,-0.009670011720554464,0.0016671391214599942,0.001098630920273278,2.977768070723236,0.009873979411814855
devine,3561,543,2121.0,3.956597940414331,0.12837445696143213,0.16902106766483582,2.057024130502698,3.0745083623154636,-0.4162237444319204,-0.38853831904862035,-3.3143220508532063,-1.0716955038247127,0.00957739946065671,-2.2047023787777945e-05,-0.001529822102897439,3.5048857235377926,0.009698836124337747
ching-sung_yu,3797,542,2202.0,3.2206543572256776,0.14133597737797435,0.014679359788963842,3.1478064160946646,-1.7179525631153232,-0.8511759155814494,2.792295331991105,0.9133890988072844,0.38045029060712,-0.004588930168032052,0.00860345673955818,0.003580507982031691,2.962420512098568,0.010387385877395544
phryne,1291,542,2236.0,3.0120925649588752,0.09393965224344948,0.15893213147572327,3.7591639582657694,2.0755191856178765,-1.357285233108547,-1.231309795799467,-2.5732160111278115,-0.8554579993924954,0.00942774808909909,-0.0034048486215054095,-7.336580783420498e-05,2.97814923096222,0.010024011707327462
slotin,12423,542,2180.0,2.578432059566795,0.17108256373379188,0.08451513187652404,1.4828960355195688,-2.7652644505523183,0.9052880323105921,2.3459533750909953,-0.07617905557976382,-0.2501810160957098,0.0025615759212741147,0.010488193381608085,0.004403773952570867,2.3604853372610766,0.011660064178030952
johnbrooks,16901,542,2222.0,2.644444742364704,0.10329918265502461,0.25035068932787596,2.41377839351465,-1.7481820996651734,2.594197163773385,-2.7696998587594446,-0.7444140163346085,0.30746816151594814,0.0017147490636243371,-0.00920782997519975,-0.002356915519123024,2.884428228553019,0.009658133772508565
paulgerhardt,14372,541,2172.0,2.9973241775507455,0.09363872626353445,0.17104188491286942,3.3537731798894512,-1.7664119650024226,1.4193934733195661,-2.9755103135167777,-0.11768688709539006,-0.13894959944126473,-0.00044022218442088523,-0.009686199429300399,-0.002405274838735439,2.981076788749965,0.009990075175177084
tagaharue,10555,540,2239.0,3.2069119284502516,0.07130077894786192,0.29340486107981656,0.6541867249126723,2.51537772222995,0.19433206742016196,-2.8583356659536996,-0.854180370293972,-0.002636111804746169,0.0021798252652127587,-0.007808575076695043,-0.006354875664397175,2.9832388160092003,0.010300967315023881
